0,"['0', '10', 8.94]"
1,"['0', '25', 76.92]"
2,"['0', '1', 99.09]"
3,"['1', '30', 11.66]"
4,"['1', '36', 218.59]"
5,"['2', '34', 122.3]"
6,"['2', '8', 189.25]"
7,"['3', '7', 16.55]"
8,"['3', '21', 321.26]"
9,"['3', '18', 299.35]"
10,"['4', '9', 9.43]"
11,"['4', '41', 35.11]"
12,"['5', '6', 10.2]"
13,"['5', '2', 165.59]"
14,"['5', '29', 194.13]"
15,"['6', '7', 193.41]"
16,"['6', '13', 273.78]"
17,"['7', '16', 581.39]"
18,"['8', '10', 127.09]"
19,"['9', '42', 124.33]"
20,"['9', '19', 1263.17]"
21,"['10', '43', 16.97]"
22,"['11', '31', 159.81]"
23,"['11', '44', 252.44]"
24,"['11', '15', 260.87]"
25,"['11', '26', 386.49]"
26,"['12', '43', 19.65]"
27,"['14', '42', 60.9]"
28,"['17', '22', 284.48]"
29,"['20', '23', 260.77]"
30,"['24', '46', 293.02]"
31,"['26', '39', 7.21]"
32,"['27', '41', 437.78]"
33,"['28', '35', 488.82]"
34,"['32', '44', 46.52]"
35,"['33', '4', 406.81]"
36,"['37', '45', 387.54]"
37,"['38', '40', 213.1]"
38,"['45', '47', 68.31]"
39,"['46', '48', 56.32]"
40,"['47', '48', 22.14]"
